,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST000842_2,ST000842,AN001358,C18 NEGATIVE ION MODE/Triple TOF,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,counts norm
ST000842_3,ST000842,AN001359,C18 POSITIVE ION MODE/Triple TOF,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,counts norm
ST000842_4,ST000842,AN001360,C18 POSITIVE ION MODE/Triple quadrupole,MS,Agilent,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6490A QQQ,Triple quadrupole,ESI,POSITIVE,,,,,pmol/mg
ST000842_5,ST000842,AN001361,C18 POSITIVE ION MODE/Triple quadrupole,MS,Agilent,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6490A QQQ,Triple quadrupole,ESI,POSITIVE,,,,,uM
ST000842_6,ST000842,AN001362,"HILIC NEGATIVE ION MODE/Amino, Aminopropyl",MS,Agilent,"Phenomenex Luna NH2 (150 x 1mm,3um)",HILIC,Agilent 6520B QTOF,QTOF,ESI,NEGATIVE,,,,,counts
ST000842_7,ST000842,AN001363,"HILIC NEGATIVE ION MODE/Nucleotides, Sugars",MS,Agilent,"Phenomenex Luna NH2 (150 x 1mm,3um)",HILIC,Agilent 6520B QTOF,QTOF,ESI,NEGATIVE,,,,,ug/100 mg
ST001342,ST001342,AN002236,None (Direct infusion) UNSPECIFIED ION MODE,MS,none,none,None (Direct infusion),ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,nmol per 10e7 cells
ST001688_0,ST001688,AN002756,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Agilent 6540 QTOF,QTOF,ESI,POSITIVE,,,,,counts (area)
ST001688_1,ST001688,AN002757,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Agilent 6540 QTOF,QTOF,ESI,NEGATIVE,,,,,counts (area)
ST001688_2,ST001688,AN002758,HILIC POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,Agilent 6540 QTOF,QTOF,ESI,POSITIVE,,,,,Counts
ST003388,ST003388,AN005555,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Phenomenex Lux i-Cellulose-5 (250 x 4.6mm, 3um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,au
ST001384_0,ST001384,AN002308,Reversed phase POSITIVE ION MODE,MS,Shimadzu Prominence 20 UFLCXR,Waters BEH C18 (100mm x 2.1mm; 1.7um),Reversed phase,ABI Sciex 5600 TripleTOF,Triple TOF,ESI,POSITIVE,,,,,Area
ST001384_1,ST001384,AN002309,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters XSelect HSS T3 (100 x 2.1mm,2.5um)",Reversed phase,Thermo Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,
ST001384_2,ST001384,AN002310,Reversed phase POSITIVE ION MODE,MS,Shimadzu Prominence 20 UFLCXR,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,ABI Sciex 5600 TripleTOF,Triple TOF,ESI,POSITIVE,,,,,Area
ST001384_3,ST001384,AN002311,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Prominence 20 UFLCXR,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,ABI Sciex 5600 TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,Area
ST002510_0,ST002510,AN004133,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,relative ion counts
ST002510_1,ST002510,AN004134,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,relative ion counts
ST000688_0,ST000688,AN001061,C18 NEGATIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak area normalized
ST000688_1,ST000688,AN001062,C18 POSITIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak area normalized
ST000925,ST000925,AN001518,GC POSITIVE ION MODE,MS,Agilent 6890N,"Agilent DB5-MS (15m x 0.25mm,0.25um)",GC,Agilent 5975,Single quadrupole,EI,POSITIVE,,,,,Peak values (Log transformed)
ST001606,ST001606,AN002639,GC UNSPECIFIED ION MODE,MS,Agilent 6890 GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25m)",GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,peak area
ST001823,ST001823,AN002959,Reversed phase POSITIVE ION MODE,MS,Thermo Xcalibur,"Phenomenex Synergi Fusion (150mm x 2mm,4um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak intensity
ST000317_0,ST000317,AN000503,Reversed phase POSITIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Peak height
ST000317_1,ST000317,AN000504,Reversed phase NEGATIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak height
ST003376,ST003376,AN005528,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Thermo Accucore C30 (150 x 2.1mm,2.6um)",Reversed phase,Thermo Q Exactive Orbitrap,Ion trap,ESI,POSITIVE,,,,,relative abundance per mg tissue
ST000384,ST000384,AN000619,CE-TOF MS,MS,Agilent CE,Fused silica capillary 50um ×80 cm,Reversed phase,Agilent CE-TOFMS,TOF,ESI,UNSPECIFIED,,,,,Relative Area
ST000002,ST000002,AN000002,GCMS positive ion mode,MS,Agilent 6890N,,GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,Peak height
ST000978,ST000978,AN001602,GC POSITIVE ION MODE,MS,Agilent 7890B,DB5-MS + 10m Duraguard capillary (Agilent 122-5532G),GC,Agilent 5975C,Single quadrupole,EI,POSITIVE,,,,,peak height
ST001828_0,ST001828,AN002964,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Agilent 6445 Q-TOF,QTOF,ESI,POSITIVE,,,,,Peak area
ST001828_1,ST001828,AN002965,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Agilent 6445 Q-TOF,QTOF,ESI,POSITIVE,,,,,Peak area
ST001828_2,ST001828,AN002966,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Agilent 6445 Q-TOF,QTOF,ESI,NEGATIVE,,,,,Peak area
ST001828_3,ST001828,AN002967,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Agilent 6445 Q-TOF,QTOF,ESI,NEGATIVE,,,,,Peak area
ST003302_0,ST003302,AN005409,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST003302_1,ST003302,AN005410,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST003302_2,ST003302,AN005411,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (100 x 2.1mm,1.7um)",HILIC,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST003302_3,ST003302,AN005412,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (100 x 2.1mm,1.7um)",HILIC,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST001312_0,ST001312,AN002184,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera-x2,"Acquity HSS UPLC T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600 TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak intensity
ST001312_1,ST001312,AN002185,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera-x2,1.8 μm particle 50 × 2.1 mm,Reversed phase,ABI Sciex 5600 TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak intensity
ST001049,ST001049,AN001864,Targeted GC POSITIVE ION MODE,MS,"GC-EI-MS, Thermo ITQ","SGE 0.15 mm i.d. x 50 m fused silica open-tubular column, coated with 0.25 μm BPX-5 (5% phenylmethyl- phenylsiloxane)",GC,Thermo ITQ,GC-ITQ,EI,POSITIVE,,,,,normalized peak area
ST000157,ST000157,AN000448,ESI/QTOF negative ion mode,MS,Agilent 1260,"Phenomenex Luna NH2 (150 x 1mm,3um)",HILIC,Agilent 6520 QTOF,QTOF,ESI,NEGATIVE,,,,,Area
ST000879_0,ST000879,AN001429,HILIC POSITIVE ION MODE,MS,Shimadzu Nexera X2,Waters Atlantis HILIC (150 x 2mm),HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST000879_1,ST000879,AN001430,HILIC NEGATIVE ION MODE,MS,Waters Acquity,Phenomenex Luna NH2 (150 x 2.0mm),HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Peak area
ST000879_2,ST000879,AN001431,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST000879_3,ST000879,AN001432,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C8 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak area
ST001709_0,ST001709,AN002783,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Area
ST001709_1,ST001709,AN002784,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak Area
ST003076,ST003076,AN005034,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge Amide (100 × 2.1 mm, 3.5 um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,arbitrary unit
ST000883,ST000883,AN001440,GC POSITIVE ION MODE,MS,Leco Pegasus 4D GC,"Agilent DB5-MS (30m × 0.25mm, 0.25um)",GC,Leco Pegasus 4D GCxGC TOF,GC x GC-TOF,EI,POSITIVE,,,,,raw abundance
ST002088_0,ST002088,AN003406,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo LTQ,Orbitrap,ESI,POSITIVE,,,,,relativeMedian
ST002088_1,ST002088,AN003407,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo LTQ,Orbitrap,ESI,POSITIVE,,,,,relativeMedian
ST002088_2,ST002088,AN003408,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo LTQ,Orbitrap,ESI,NEGATIVE,,,,,relativeMedian
ST002088_3,ST002088,AN003409,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo LTQ,Orbitrap,ESI,NEGATIVE,,,,,relativeMedian
ST001749_0,ST001749,AN002848,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Raw area counts
ST001749_1,ST001749,AN002849,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Raw area counts
ST001749_2,ST001749,AN002850,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Raw area counts
ST001749_3,ST001749,AN002851,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Raw area counts
ST003240_0,ST003240,AN005307,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Perkin Elmer Brownlee SPP C18 (75 × 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalized to the median value of total lipid signals
ST003240_1,ST003240,AN005308,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Perkin Elmer Brownlee SPP C18 (75 × 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Normalized to the median value of total lipid signals
ST001855_0,ST001855,AN003006,Reversed phase POSITIVE ION MODE,MS,Thermo Ultimate 3000 system,Waters ACQUITY UPLC HSS T3,Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,AUC
ST001855_1,ST001855,AN003007,Reversed phase NEGATIVE ION MODE,MS,Thermo Ultimate 3000 system,Waters ACQUITY UPLC HSS T3,Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,AUC
ST002435_0,ST002435,AN003967,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Phenomenex Kinetex HILIC 100A (50 x 2.1 mm, 2.6um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Relative units
ST002435_1,ST002435,AN003968,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Phenomenex Kinetex XB-C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Relative units
ST003390_0,ST003390,AN005559,HILIC UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"Waters ACQUITY UPLC BEH Amide (100 x 2.1mm,1.7um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,ng/mL
ST003390_1,ST003390,AN005560,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"Thermo Hypersil GOLD aQ (100 x 2.1mm,1.9um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,ng/mL
ST003390_2,ST003390,AN005561,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"Waters ACQUITY UPLC HSS C18 (100 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,ng/mL
ST003390_3,ST003390,AN005562,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"ACE Excel 2 C18-PFP (100 x 2.1mm,2um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,ng/mL
ST003390_4,ST003390,AN005563,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"ACE Excel 2 C18-PFP (100 x 2.1mm,2um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,uM
ST003390_5,ST003390,AN005564,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"Waters ACQUITY UPLC HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,ng/ml
ST000445,ST000445,AN000696,Reversed phase POSITIVE ION MODE,MS,Waters Acquity I-Class,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Waters Synapt G2,QTOF,ESI,POSITIVE,,,,,m/z intensity
ST002284_0,ST002284,AN003732,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Thermo Accucore HILIC (100 x 2.1mm,2.6um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak intensity
ST002284_1,ST002284,AN003733,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Thermo Accucore HILIC (100 x 2.1mm,2.6um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak intensity
ST002375,ST002375,AN003870,HILIC UNSPECIFIED ION MODE,MS,Shimadzu Prominence UFLC,"Waters XBridge BEH Amide XP HILIC (150 x 2.1mm,2.5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,AUC
ST003410_0,ST003410,AN005599,None (Direct infusion) NEGATIVE ION MODE,MS,Sciex QTRAP 6500+ with SelexION,none,None (Direct infusion),ABI Sciex 6500+ QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,nmol/250 ug protein
ST003410_1,ST003410,AN005600,None (Direct infusion) POSITIVE ION MODE,MS,Sciex QTRAP 6500+ with SelexION,none,None (Direct infusion),ABI Sciex 6500+ QTrap,Triple quadrupole,ESI,POSITIVE,,,,,nmol/250 ug protein
ST003410_2,ST003410,AN005601,None (Direct infusion) POSITIVE ION MODE,MS,Sciex QTRAP 6500+,none,None (Direct infusion),ABI Sciex 6500+ QTrap,Triple quadrupole,ESI,POSITIVE,,,,,nmol/250 ug protein
ST000916_0,ST000916,AN001491,Core G Fatty acids/Eicosanoids,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST000916_1,ST000916,AN001492,Core J Sterols,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,nmol/ml
ST000916_2,ST000916,AN001493,Core K Prenols/Cardiolipins,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST000916_3,ST000916,AN001494,Core E Neutral Lipids,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,nmol/ml
ST000916_4,ST000916,AN001495,Core I Sphingolipids,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST000916_5,ST000916,AN001496,Core H Phospholipids,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST000242_0,ST000242,AN000375,C18 ESI positive ion mode,MS,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Reversed phase,Agilent 6220 TOF,TOF,ESI,POSITIVE,,,,,Peak area
ST000242_1,ST000242,AN000376,C18 ESI negative ion mode,MS,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Reversed phase,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,Peak area
ST000242_2,ST000242,AN000377,HILIC ESI positive ion mode,MS,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Reversed phase,Agilent 6220 TOF,TOF,ESI,POSITIVE,,,,,Peak area
ST000242_3,ST000242,AN000378,HILIC ESI negative ion mode,MS,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Reversed phase,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,Peak area
ST001071,ST001071,AN001753,GC POSITIVE ION MODE,MS,Agilent 7890A,"Phenomenea ZB-5MS (60m x 0.32mm,0.25um)",GC,Agilent 5975C,Single quadrupole,EI,POSITIVE,,,,,peak area
ST001288,ST001288,AN002141,Reversed phase and normal phase LC,MS,Several,Several,Reversed phase/Normal phase,Several,Several,ESI,UNSPECIFIED,,,,,pmoles per mg protein
ST002174,ST002174,AN003562,HILIC UNSPECIFIED ION MODE,MS,Ulitmate 3000,"SeQuant ZIC-pHILIC (150 x 4.6mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,N/L
ST001954,ST001954,AN003179,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish Horizon,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak Area
ST002283_0,ST002283,AN003728,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,POSITIVE,,,,,Area integration
ST002283_1,ST002283,AN003729,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,NEGATIVE,,,,,Area integration
ST002283_2,ST002283,AN003730,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Reversed phase,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,POSITIVE,,,,,Area integration
ST002283_3,ST002283,AN003731,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Reversed phase,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,NEGATIVE,,,,,Area integration
ST002697,ST002697,AN004371,Reversed phase POSITIVE ION MODE,MS,Bruker Elute,"Hamilton Intensity Solo 2 C18 (100 x 2.1 mm, 1.8 um)",Reversed phase,Bruker timsTOF,QTOF,ESI,POSITIVE,,,,,AU
ST003101_0,ST003101,AN005072,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Inertsil Ph-3 UHPLC column (2 µm, 150 x 2.1 mm)",Reversed phase,Bruker Impact II,QTOF,ESI,POSITIVE,,,,,Rel Abundance
ST003101_1,ST003101,AN005073,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Inertsil Ph-3 UHPLC column (2 µm, 150 x 2.1 mm)",Reversed phase,Bruker Impact II,QTOF,ESI,NEGATIVE,,,,,Rel Abundance
ST003101_2,ST003101,AN005074,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Bruker Impact II,QTOF,ESI,POSITIVE,,,,,Rel Abundance
ST003101_3,ST003101,AN005075,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Bruker Impact II,QTOF,ESI,NEGATIVE,,,,,Rel Abundance
ST000922_0,ST000922,AN001511,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity BEH Amide (75 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak area
ST000922_1,ST000922,AN001512,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity BEH Amide (75 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST000383,ST000383,AN000618,GC POSITIVE ION MODE,MS,Agilent 6890N,Restek Corporation Rtx-5Sil MS,GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,counts
ST000354_0,ST000354,AN000577,RP POSITIVE ION MODE,MS,Agilent 6530,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Peak height
ST000354_1,ST000354,AN000578,RP NEGATIVE ION MODE,MS,Agilent 6550,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak height
ST000894,ST000894,AN001456,GC POSITIVE ION MODE,MS,Agilent 6890N,"Agilent DB5-MS (15m x 0.25mm,0.25um)",GC,Agilent 5975,Single quadrupole,EI,POSITIVE,,,,,Peak values (Log transformed)
ST001907,ST001907,AN003104,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",Reversed phase,Agilent 6490 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,pmol per mg
ST002647,ST002647,AN004319,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity HSS T3 (100 x 2.1mm, 1.8um)",Reversed phase,Agilent 6545 QTOF,QTOF,ESI,POSITIVE,,,,,peak area
ST002700_0,ST002700,AN004376,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity,"Waters ACQUITY UPLC BEH C18 (50 x 2.1mm,1.7um)",Reversed phase,Agilent 6546 QTOF,QTOF,ESI,POSITIVE,,,,,normalized peak heights
ST002700_1,ST002700,AN004377,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity,"Waters ACQUITY UPLC BEH C18 (50 x 2.1mm,1.7um)",Reversed phase,Agilent 6546 QTOF,QTOF,ESI,NEGATIVE,,,,,normalized peak heights
ST001908,ST001908,AN003105,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters XBridge Amide (100 x 2.1 mm,3.5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,a.u.
ST000725_0,ST000725,AN001136,Reversed phase NEGATIVE ION MODE,MS,Agilent,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,NEGATIVE,,,,,peak area
