,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST001188,ST001188,AN001980,HILIC NEGATIVE ION MODE,MS,Agilent 6550,"SeQuant ZIC-HILIC (150 x 4.6mm,3.5um)",HILIC,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,ion count
ST002327,ST002327,AN003796,HILIC POSITIVE ION MODE,MS,Dionex Ultimate 3000TM,Millipore(TM) ZIC-pHILIC,HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,intensity
ST002513_0,ST002513,AN004138,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,relative ion counts
ST002513_1,ST002513,AN004139,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,relative ion counts
ST002656,ST002656,AN004328,Reversed phase NEGATIVE ION MODE,MS,Vanquish horizon LC,"Thermo Accucore C30 (100 x 2.1mm,2.6um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST001292_0,ST001292,AN002149,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak area
ST001292_1,ST001292,AN002150,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak area
ST001383_0,ST001383,AN002304,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6540 QTOF,QTOF,ESI,POSITIVE,,,,,Peak area normalized
ST001383_1,ST001383,AN002305,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6540 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak area normalized
ST001383_2,ST001383,AN002306,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6540 QTOF,QTOF,ESI,POSITIVE,,,,,Peak area normalized
ST001383_3,ST001383,AN002307,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6540 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak area normalized
